name,,full_address,latitude,longitude,city,state,zip_code,phone_number,website,google_maps_url,mailing_address,contact_person,email,Coords,Unnamed: 4,Unnamed: 5,Unnamed: 6,summary
"#EDGE Beauty Bar, LLC",,"131 N Church St, Dalton, OH 44618, USA",40.8005775,-81.6988497,Dalton,OH,44618,(330) 828-6135,http://www.vagaro.com/edgebeautybar,https://maps.google.com/?cid=15221649517731150329,,,,"40.8005775, -81.6988497",,,,"#EDGE Beauty Bar, LLC is your go-to destination in Dalton, OH, for enhancing your natural beauty and confidence. Specializing in brow and lash services, this beauty bar offers a personalized experience in a relaxing atmosphere. If you're looking for meticulous attention to detail and a quick ""pick me up"", #EDGE Beauty Bar is the perfect place to treat yourself."
1850 Coffee,,"1 Strawberry Ln, Orrville, OH 44667, USA",40.8479362,-81.7623201,Orrville,OH,44667,(800) 937-9745,https://www.1850coffee.com/contact-us,https://maps.google.com/?cid=10469878420402103176,,,,"40.8479362, -81.7623201",,,,"Located at the J.M. Smucker Company headquarters, 1850 Coffee draws inspiration from the rich heritage of Folgers, offering a bold yet smooth coffee experience with Rainforest Alliance Certified™ Arabica beans. Ideal for coffee aficionados seeking a premium and expertly crafted cup, 1850 Coffee embodies a timeless taste achieved through time-honored roasting techniques. Whether you're a traditional Folgers drinker or a younger consumer seeking richer blends, discover a satisfying and innovative coffee platform at One Strawberry Lane."
3 Moms Stitchin,,"101 North Main Street Creston Canaan Township, Creston, OH 44217, USA",40.9838022,-81.8945787,Creston,OH,44217,(330) 435-6038,https://3momsstitchin.com/about-us/,https://maps.google.com/?cid=14885428097511779042,,,,"40.9838022, -81.8945787",,,,"Unleash your creativity at 3 Moms Stitchin', a charming sewing and embroidery business located in Creston, OH, where they specialize in custom patches and leather goods. With a wide array of options, including biker, pet, military and religious patches, this family-run shop offers something unique for every visitor. Whether you're a seasoned crafter or just starting, you'll find inspiration and quality workmanship here!"
31 bistro,,"1931 Portage Rd, Wooster, OH 44691, USA",40.8281136,-81.9119649,Wooster,OH,44691,(330) 804-0070,https://www.31bistrowooster.com/,https://maps.google.com/?cid=3333203299791560229,,,,"40.8281136, -81.9119649",,,,"Craving a modern twist on classic pub fare? 31 Bistro in Wooster offers a diverse menu from gourmet burgers and pizzas to wings and specialty hot dogs, perfect for satisfying any appetite. With a cozy, casual atmosphere, it's an ideal spot for a quick lunch, a relaxed dinner, or enjoying happy hour with friends; don't miss their half-priced hot dogs on Mondays and Keno for entertainment!"
31 Bistro,,"1931 Portage Rd, Wooster, Ohio 44691.0",40.8281303,-81.9119795,,,,419-651-6266,,,,,,"40.8281303, -81.9119795",,,,"Looking for a classic pub and grill with a twist? 31 Bistro in Wooster, Ohio, offers a diverse menu featuring everything from pizzas and wings to burgers and specialty hot dogs, with half-priced hot dogs every Monday. With a comfortable atmosphere and entertainment options like TouchTunes and a Keno machine, it's a great spot for casual diners and those looking to unwind with friends."
3D Meats,,"14740 Lincoln Way E, Dalton, Ohio 44618.0",40.8014502,-81.719386,,,,330-985-0311,,,,,,"40.8014502, -81.719386",,,,"Discover 3D Meats, a family-owned butcher shop in Dalton, Ohio, passionate about providing locally sourced meats directly to the community. With beef sourced from their own farm and pork from nearby farmers, they offer a variety of fresh and frozen cuts, lunch meat, and cheeses in their retail market. Perfect for those seeking high-quality, locally-sourced meat and supporting local agriculture."
7 Scoops LLC,,"750 E Main St, Smithville, OH 44677, USA",40.8690275,-81.8506079,Smithville,OH,44677,(330) 944-9005,http://www.7-scoops.com/,https://maps.google.com/?cid=670079644220186135,,,,"40.8690275, -81.8506079",,,,"Craving a sweet treat? 7 Scoops LLC in Smithville is the perfect place to indulge in delicious ice cream, tasty acai bowls, and the finest coffee, all while supporting a community-focused business. Ideal for families, students, and anyone looking for a friendly atmosphere and high-quality frozen desserts, Seven Scoops offers a delightful experience where giving back has never been sweeter."
A Time to Craft LLC,,"2799 Cleveland Rd, Wooster, Ohio 44691.0",40.8338096,-81.9289841,,,,330-466-1643,,,,,,"40.8338096, -81.9289841",,,,"Unleash your inner artist at A Time to Craft LLC, a creative hub in Wooster, Ohio, perfect for crafting enthusiasts of all skill levels. With a relaxed and inspiring atmosphere, they offer diverse classes and open studio time for you to explore various mediums, shop for unique supplies, and create lasting memories. Ideal for anyone seeking a fun night out, a new hobby, or a special event venue, A Time to Craft provides a welcoming space to gather, create, and inspire."
AC Woodworking. Leroy Miller,,"6053 E Messner Rd, Apple Creek, OH 44606, USA",40.7449661,-81.8623448,Apple Creek,OH,44606,(330) 312-4086,,https://maps.google.com/?cid=13233359796802101678,,,,"40.7449661, -81.8623448",,,,"Discover quality craftsmanship at AC Woodworking, located at 6053 E Messner Rd, Apple Creek, OH. Specializing in custom woodworking, Leroy Miller and his team create beautiful, handcrafted pieces with attention to detail. Perfect for homeowners and businesses seeking unique, durable wood products, AC Woodworking delivers exceptional artistry and service in every project."
Academy of Immortal Palm,,"854 Spruce St, Wooster, OH 44691, USA",40.7887129,-81.9405437,Wooster,OH,44691,(330) 466-3355,http://wingchunner.tripod.com/,https://maps.google.com/?cid=1975291965837008931,,,,"40.7887129, -81.9405437",,,,"Discover the ancient art of self-defense at the Academy of Immortal Palm, where students learn Wing Chun, Tai Chi, and more. With a focus on health, physical cultivation, and martial arts weapons, this academy offers a unique and enriching experience for those seeking discipline and skill. Ideal for martial arts enthusiasts of all levels, the Academy of Immortal Palm provides expert instruction in a welcoming environment."
Acres of Fun,,"3889 Friendsville Rd, Wooster, OH 44691, USA",40.8472047,-81.9388853,Wooster,OH,44691,(330) 345-4386,https://acresoffun.com/,https://maps.google.com/?cid=7691113731284579054,,,,"40.8472047, -81.9388853",,,,"Looking for a day packed with excitement? Acres of Fun in Wooster, OH, offers a fantastic blend of attractions, including go-karts, laser tag, mini golf, and a classic roller skating rink. Perfect for families, thrill-seekers, and anyone looking to make lasting memories, Acres of Fun guarantees a fun-filled experience for all ages."
Action Accessories,,"8210 Co Rd 245, Holmesville, OH 44633",40.63859132,-81.92311244,,,,330-279-9222,,,,,,"40.638591320294445, -81.92311244184438",,,,"Action Accessories, located at 8210 Co Rd 245 in Holmesville, OH, is your one-stop destination for top-quality truck and trailer accessories. Here, you'll discover a wide selection of durable products designed to enhance your vehicle's functionality and style. Perfect for outdoor enthusiasts, contractors, and anyone looking to upgrade their truck or trailer, Action Accessories combines rugged utility with dependable performance."
Admissions,,"Skou Hall, Wooster, OH 44691, USA",40.7750516,-81.9230448,Wooster,OH,44691,(330) 287-1327,http://ati.osu.edu/,https://maps.google.com/?cid=15493649880455596202,,,,"40.7750516, -81.9230448",,,,"Begin your journey at Ohio State ATI by visiting Admissions at Skou Hall, where you can explore diverse academic programs in a welcoming environment. Here, future students can find resources and guidance to navigate the admissions process. This is an ideal starting point for anyone looking to begin or advance their education in agriculture, engineering, or related fields."
After Hours BBQ Catering Co.,," 6143 N Crown Hill Rd, Orrville, OH 44667",40.87550069,-81.7833004,,,,,,,,,,"40.8755006899882, -81.78330040356693",,,,"Craving award-winning BBQ? After Hours BBQ Catering Co. brings their famous ribs, smoked meats, and delicious sides like cowboy beans and roasted garlic potatoes to your event. Perfect for rib fest enthusiasts and anyone seeking a taste of authentic Ohio barbeque, After Hours BBQ offers catering services that will leave your guests delighted."
Ag-Pro,,"8401 Orrin Dr, Burbank, OH 44214, USA",41.0000855,-81.992642,Burbank,OH,44214,(330) 948-7437,https://www.agprocompanies.com/about-us/locations/burbank-oh/,https://maps.google.com/?cid=9764100975228424692,,,,"41.0000855, -81.992642",,,,"Located off I-71 in Burbank, OH, Ag-Pro is your go-to John Deere dealer for homeowners, hobby farmers, and landscaping professionals. We offer a wide selection of equipment, from Gators to mowers and tractors, paired with outstanding customer service and a top-notch service department. Visit us to experience the Ag-Pro difference and find the perfect machine for your needs."
Air Works,,"10680 Dover Rd., Apple Creek, Ohio 44606.0",40.7255496,-81.7862462,,,,330-698-0388,,,,,,"40.7255496, -81.7862462",,,,"Air Works, located in Apple Creek, Ohio, is your one-stop shop for tools and fasteners, catering to both home improvement enthusiasts and professional builders. With a commitment to customer satisfaction, Air Works offers a wide range of products and in-house service for tool repairs, making it the ideal destination for anyone looking to build or maintain their home. Stop by and experience their family-owned dedication to quality and service."
Akron Brass,,"343 Venture Blvd, Wooster, OH 44691",40.8046741,-81.96402402,,,,,,,,,,"40.804674096104016, -81.96402402091857",,,,"For over 100 years, Akron Brass has been a trusted global leader in providing high-performance firefighting equipment. Located in Wooster, OH, they specialize in manufacturing innovative nozzles, monitors, valves, and vehicle electronics, improving the safety and efficiency of first responders. Ideal for fire truck manufacturers, public fire services, and industrial facilities, Akron Brass is dedicated to shaping the future of fire and rescue with integrated solutions."
"Akron Children's Hospital CARE Center, Wooster",,"1734 Gasche St, Wooster, OH 44691, USA",40.8202929,-81.9295893,Wooster,OH,44691,(330) 262-1063,https://www.akronchildrens.org/locations/Wooster-Health-Center.html,https://maps.google.com/?cid=5840764576760394403,,,,"40.8202929, -81.9295893",,,,"Akron Children's Hospital CARE Center in Wooster offers specialized pediatric care, bringing advanced medical services closer to home. With a focus on family-centered care, the center provides a range of services from primary care to specialty treatments, ensuring children receive the best possible medical attention in a comfortable and supportive environment. Ideal for families seeking comprehensive and compassionate healthcare for their children, the CARE Center is committed to improving the health and well-being of the community's youngest members."
"Akron Children's Hospital Specialty Care, Wooster",,"546 Winter St, Wooster, OH 44691, USA",40.8204519,-81.9319312,Wooster,OH,44691,(330) 543-4500,https://www.akronchildrens.org/locations/Specialty-Care-Wooster.html?y_source=1_MTM0MDE2MDItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,https://maps.google.com/?cid=13713569664528284422,,,,"40.8204519, -81.9319312",,,,"Akron Children's Hospital Specialty Care in Wooster provides expert pediatric care, bringing specialized services closer to home for families. With a focus on creating a comfortable and supportive environment, the clinic offers a range of services for children needing specialized medical attention. It is an ideal choice for parents seeking comprehensive and compassionate care from dedicated pediatric specialists."
