name,category,full_address,latitude,longitude,city,state,zip_code,phone_number,website,google_maps_url,mailing_address,contact_person,email
Farmer Boy,restaurant,"2558 Cleveland Rd, Wooster, OH 44691, USA",40.8309644,-81.93134189999999,Wooster,OH,44691,(330) 345-7799,,https://maps.google.com/?cid=3771724799321444702,,,
Mariola Italian,restaurant,"365 E Liberty St #100, Wooster, OH 44691, USA",40.7985961,-81.935366,Wooster,OH,44691,(330) 845-8889,http://www.mariolaitalian.com/,https://maps.google.com/?cid=10443818323912670340,,,
Olde Jaol Steakhouse and Tavern,restaurant,"215 N Walnut St, Wooster, OH 44691, USA",40.7996597,-81.94165799999999,Wooster,OH,44691,(330) 262-3333,https://www.oldejaol.com/,https://maps.google.com/?cid=303714742310527210,,,
The Leaf Restaurant,restaurant,"203 W Liberty St, Wooster, OH 44691, USA",40.79803,-81.94170539999999,Wooster,OH,44691,(330) 804-0126,http://theleaf.restaurant/,https://maps.google.com/?cid=17576269968844403992,,,
The Market Grill & Tavern,restaurant,"234 S Market St, Wooster, OH 44691, USA",40.796274,-81.9391378,Wooster,OH,44691,(330) 201-9640,,https://maps.google.com/?cid=8342460248100593627,,,
Muddy's,restaurant,"335 E Liberty St, Wooster, OH 44691, USA",40.798621,-81.93562849999999,Wooster,OH,44691,(330) 264-2604,https://www.muddyswooster.net/,https://maps.google.com/?cid=15182309109801276021,,,
Bishops Restaurant,restaurant,"1638 Old Columbus Rd, Wooster, OH 44691, USA",40.777892,-81.963574,Wooster,OH,44691,(330) 601-0204,https://bishopsfamilyrestaurant0140.s4shops.com/,https://maps.google.com/?cid=11338041549518276985,,,
The Barn Restaurant,restaurant,"877 W Main St, Smithville, OH 44677, USA",40.856719,-81.8705351,Smithville,OH,44677,(330) 669-2555,http://www.thebarnrest.com/,https://maps.google.com/?cid=11942561378616247408,,,
LongHorn Steakhouse,restaurant,"4049 Burbank Rd, Wooster, OH 44691, USA",40.849089,-81.945351,Wooster,OH,44691,(330) 262-0502,https://www.longhornsteakhouse.com/locations/oh/wooster/wooster/5153?cmpid=br:lh_ag:ie_ch:loc_ca:LHGMB_sn:gmb_gt:wooster-oh-5153_pl:locurl_rd:1112,https://maps.google.com/?cid=81384917359293598,,,
Brick Street Kitchen & Taproom,restaurant,"226 W Market St, Orrville, OH 44667, USA",40.84043130000001,-81.7662481,Orrville,OH,44667,(330) 930-3200,http://brickstreetkt.com/,https://maps.google.com/?cid=9405148106379449387,,,
31 bistro,restaurant,"1931 Portage Rd, Wooster, OH 44691, USA",40.82811359999999,-81.9119649,Wooster,OH,44691,(330) 804-0070,https://www.31bistrowooster.com/,https://maps.google.com/?cid=3333203299791560229,,,
Leroy's of Wooster,restaurant,"400 Palmer St, Wooster, OH 44691, USA",40.8017528,-81.92516599999999,Wooster,OH,44691,(330) 264-9913,https://www.facebook.com/LeroysWooster?mibextid=ZbWKwL,https://maps.google.com/?cid=6116050231357384304,,,
Beef 'O' Brady's,restaurant,"244 S Market St, Wooster, OH 44691, USA",40.7960151,-81.93896579999999,Wooster,OH,44691,(330) 264-2226,https://www.beefobradys.com/wooster,https://maps.google.com/?cid=14081232456711812118,,,
The City Square Steakhouse,restaurant,"140 S Market St, Wooster, OH 44691, USA",40.79747159999999,-81.9393979,Wooster,OH,44691,(330) 262-2489,https://www.citysquaresteakhouse.com/,https://maps.google.com/?cid=4157698552974798176,,,
Wild Fox Cafe,restaurant,"5034 Kidron Rd, Apple Creek, OH 44606, USA",40.7385311,-81.7442009,Apple Creek,OH,44606,(330) 663-6864,,https://maps.google.com/?cid=6148056245100537128,,,
Green Leaf Restaurant,restaurant,"2905 Cleveland Rd, Wooster, OH 44691, USA",40.83542920000001,-81.9290075,Wooster,OH,44691,(330) 345-6797,https://www.facebook.com/GLRestaurant,https://maps.google.com/?cid=7464424451450786555,,,
The Curry Pot,restaurant,"206 Beall Ave, Wooster, OH 44691, USA",40.8005376,-81.9349371,Wooster,OH,44691,(330) 464-9708,https://www.thecurrypot.org/,https://maps.google.com/?cid=14201972205585597118,,,
Ugly Duck,restaurant,"3331 Lincoln Way E, Wooster, OH 44691, USA",40.79544829999999,-81.90026089999999,Wooster,OH,44691,(330) 262-5654,http://www.myuglyduck.com/,https://maps.google.com/?cid=13851849015436350090,,,
Broken Rocks Café & Bakery,restaurant,"123 E Liberty St, Wooster, OH 44691, USA",40.798035,-81.93927699999999,Wooster,OH,44691,(330) 263-2949,http://www.brokenrockscafe.com/,https://maps.google.com/?cid=2028021065918995861,,,
Hard Hat Restaurant,restaurant,"845 Spruce St, Wooster, OH 44691, USA",40.78932299999999,-81.94102199999999,Wooster,OH,44691,(330) 262-5891,,https://maps.google.com/?cid=11618626418028793816,,,
TJ’s Restaurant,restaurant,"359 W Liberty St, Wooster, OH 44691, USA",40.7977371,-81.94467159999999,Wooster,OH,44691,(330) 264-6263,http://www.tjsrestaurants.com/,https://maps.google.com/?cid=520595273398924219,,,
Osaka Asian Restaurant,restaurant,"3729 Burbank Rd, Wooster, OH 44691, USA",40.84568549999999,-81.9411444,Wooster,OH,44691,(330) 601-1113,http://www.osakaoh.com/,https://maps.google.com/?cid=12819779474144340899,,,
Rox Gastropub,restaurant,"119 E Liberty St, Wooster, OH 44691, USA",40.79809909999999,-81.9393398,Wooster,OH,44691,(330) 263-2949,http://roxgastropub.com/contact-us.html,https://maps.google.com/?cid=2377349534511524199,,,
Andio Sisters,restaurant,"140 S Walnut St, Wooster, OH 44691, USA",40.7972613,-81.9411401,Wooster,OH,44691,(330) 988-9300,http://andiosisters.com/,https://maps.google.com/?cid=11028608249007636792,,,
Penn Station East Coast Subs,restaurant,"4124 Burbank Rd Suite 103, Wooster, OH 44691, USA",40.84953400000001,-81.9471281,Wooster,OH,44691,(330) 601-0161,https://www.penn-station.com/,https://maps.google.com/?cid=4955967399982691610,,,
Hero House,restaurant,"141 N Bever St, Wooster, OH 44691, USA",40.7995858,-81.93683519999999,Wooster,OH,44691,(330) 262-8166,,https://maps.google.com/?cid=14246113026235298020,,,
