name,full_address,city,category,latitude,longitude,state,zip_code,phone_number,website,email,summary
"#EDGE Beauty Bar, LLC","131 N Church St, Dalton, OH 44618, USA",Dalton,Self Care,40.8005775,-81.69885,OH,44618,(330) 828-6135,http://www.vagaro.com/edgebeautybar,,"#EDGE Beauty Bar, LLC is your go-to destination in Dalton, OH, for enhancing your natural beauty and confidence. Specializing in brow and lash services, this beauty bar offers a personalized experience in a relaxing atmosphere. If you're looking for meticulous attention to detail and a quick ""pick me up"", #EDGE Beauty Bar is the perfect place to treat yourself."
3 Moms Stitchin,"101 North Main Street Creston Canaan Township, Creston, OH 44217, USA",Creston,Attraction,40.9838022,-81.894579,OH,44217,(330) 435-6038,https://3momsstitchin.com/about-us/,,"Unleash your creativity at 3 Moms Stitchin', a charming sewing and embroidery business located in Creston, OH, where they specialize in custom patches and leather goods. With a wide array of options, including biker, pet, military and religious patches, this family-run shop offers something unique for every visitor. Whether you're a seasoned crafter or just starting, you'll find inspiration and quality workmanship here!"
31 bistro,"1931 Portage Rd, Wooster, OH 44691, USA",Wooster,Food/Drinks,40.8281136,-81.911965,OH,44691,(330) 804-0070,https://www.31bistrowooster.com/,,"Craving a modern twist on classic pub fare? 31 Bistro in Wooster offers a diverse menu from gourmet burgers and pizzas to wings and specialty hot dogs, perfect for satisfying any appetite. With a cozy, casual atmosphere, it's an ideal spot for a quick lunch, a relaxed dinner, or enjoying happy hour with friends; don't miss their half-priced hot dogs on Mondays and Keno for entertainment!"
3D Meats,"14740 Lincoln Way E, Dalton, Ohio 44618.0",Dalton,Farm,40.8014502,-81.719386,,,330-985-0311,,,"Discover 3D Meats, a family-owned butcher shop in Dalton, Ohio, passionate about providing locally sourced meats directly to the community. With beef sourced from their own farm and pork from nearby farmers, they offer a variety of fresh and frozen cuts, lunch meat, and cheeses in their retail market. Perfect for those seeking high-quality, locally-sourced meat and supporting local agriculture."
7 Scoops LLC,"750 E Main St, Smithville, OH 44677, USA",Smithville,Food/Drinks,40.8690275,-81.850608,OH,44677,(330) 944-9005,http://www.7-scoops.com/,,"Craving a sweet treat? 7 Scoops LLC in Smithville is the perfect place to indulge in delicious ice cream, tasty acai bowls, and the finest coffee, all while supporting a community-focused business. Ideal for families, students, and anyone looking for a friendly atmosphere and high-quality frozen desserts, Seven Scoops offers a delightful experience where giving back has never been sweeter."
A Time to Craft LLC,"2799 Cleveland Rd, Wooster, Ohio 44691.0",Wooster,Attraction,40.8338096,-81.928984,,,330-466-1643,,,"Unleash your inner artist at A Time to Craft LLC, a creative hub in Wooster, Ohio, perfect for crafting enthusiasts of all skill levels. With a relaxed and inspiring atmosphere, they offer diverse classes and open studio time for you to explore various mediums, shop for unique supplies, and create lasting memories. Ideal for anyone seeking a fun night out, a new hobby, or a special event venue, A Time to Craft provides a welcoming space to gather, create, and inspire."
AC Woodworking. Leroy Miller,"6053 E Messner Rd, Apple Creek, OH 44606, USA",Apple Creek,Furniture,40.7449661,-81.862345,OH,44606,(330) 312-4086,,,"Discover quality craftsmanship at AC Woodworking, located at 6053 E Messner Rd, Apple Creek, OH. Specializing in custom woodworking, Leroy Miller and his team create beautiful, handcrafted pieces with attention to detail. Perfect for homeowners and businesses seeking unique, durable wood products, AC Woodworking delivers exceptional artistry and service in every project."
Academy of Immortal Palm,"854 Spruce St, Wooster, OH 44691, USA",Wooster,Fitness/Health,40.7887129,-81.940544,OH,44691,(330) 466-3355,http://wingchunner.tripod.com/,,"Discover the ancient art of self-defense at the Academy of Immortal Palm, where students learn Wing Chun, Tai Chi, and more. With a focus on health, physical cultivation, and martial arts weapons, this academy offers a unique and enriching experience for those seeking discipline and skill. Ideal for martial arts enthusiasts of all levels, the Academy of Immortal Palm provides expert instruction in a welcoming environment."
Acres of Fun,"3889 Friendsville Rd, Wooster, OH 44691, USA",Wooster,Attraction,40.8472047,-81.938885,OH,44691,(330) 345-4386,https://acresoffun.com/,,"Looking for a day packed with excitement? Acres of Fun in Wooster, OH, offers a fantastic blend of attractions, including go-karts, laser tag, mini golf, and a classic roller skating rink. Perfect for families, thrill-seekers, and anyone looking to make lasting memories, Acres of Fun guarantees a fun-filled experience for all ages."
Action Accessories,"8210 Co Rd 245, Holmesville, OH 44633",Holmesville,Attraction,40.6385913,-81.923112,,,330-279-9222,https://www.facebook.com/stitchforu/ ,,
